f	Au	phase
3.98107170553501e+05	1.85547502307065e+01	1.67713432963657e+02
4.16869383470339e+05	1.85359399706875e+01	1.67153003851192e+02
4.36515832240170e+05	1.85154081441808e+01	1.66568804777575e+02
4.57088189614879e+05	1.84930064540845e+01	1.65960078347377e+02
4.78630092322643e+05	1.84685755795802e+01	1.65326078351476e+02
5.01187233627277e+05	1.84419446847907e+01	1.64666075646747e+02
5.24807460249778e+05	1.84129309699828e+01	1.63979364757415e+02
5.49540873857630e+05	1.83813392807743e+01	1.63265271228828e+02
5.75439937337162e+05	1.83469617929485e+01	1.62523159753985e+02
6.02559586074364e+05	1.83095777926015e+01	1.61752443079464e+02
6.30957344480199e+05	1.82689535733909e+01	1.60952591679917e+02
6.60693448007602e+05	1.82248424744751e+01	1.60123144168786e+02
6.91830970918943e+05	1.81769850842128e+01	1.59263718387094e+02
7.24435960074997e+05	1.81251096356463e+01	1.58374023081956e+02
7.58577575029191e+05	1.80689326200471e+01	1.57453870052150e+02
7.94328234724290e+05	1.80081596441363e+01	1.56503186600036e+02
8.31763771102679e+05	1.79424865548038e+01	1.55522028088254e+02
8.70963589956090e+05	1.78716008520188e+01	1.54510590357246e+02
9.12010839355919e+05	1.77951834059772e+01	1.53469221717460e+02
9.54992586021446e+05	1.77129104882182e+01	1.52398434190431e+02
1.00000000000001e+06	1.76244561184091e+01	1.51298913638435e+02
1.04712854805091e+06	1.75294947187731e+01	1.50171528396249e+02
1.09647819614320e+06	1.74277040568773e+01	1.49017336003909e+02
1.14815362149689e+06	1.73187684450217e+01	1.47837587639682e+02
1.20226443461743e+06	1.72023821512328e+01	1.46633729870611e+02
1.25892541179418e+06	1.70782529635009e+01	1.45407403376414e+02
1.31825673855642e+06	1.69461058361601e+01	1.44160438362519e+02
1.38038426460290e+06	1.68056865360668e+01	1.42894846459714e+02
1.44543977074594e+06	1.66567651973883e+01	1.41612809009471e+02
1.51356124843622e+06	1.64991396882353e+01	1.40316661752373e+02
1.58489319246113e+06	1.63326386908106e+01	1.39008876066778e+02
1.65958690743758e+06	1.61571243997455e+01	1.37692037039423e+02
1.73780082874939e+06	1.59724947510910e+01	1.36368818781125e+02
1.81970085861000e+06	1.57786851069378e+01	1.35041957520722e+02
1.90546071796327e+06	1.55756693373798e+01	1.33714223110858e+02
1.99526231496890e+06	1.53634602616884e+01	1.32388389652841e+02
2.08929613085406e+06	1.51421094329985e+01	1.31067205989314e+02
2.18776162394958e+06	1.49117062742011e+01	1.29753366819643e+02
2.29086765276780e+06	1.46723765956538e+01	1.28449485163401e+02
2.39883291901952e+06	1.44242805464025e+01	1.27158066834149e+02
2.51188643150961e+06	1.41676100686293e+01	1.25881487493839e+02
2.63026799189541e+06	1.39025859390759e+01	1.24621972743925e+02
2.75422870333820e+06	1.36294544906425e+01	1.23381581580857e+02
2.88403150312664e+06	1.33484841119960e+01	1.22162193409165e+02
3.01995172040205e+06	1.30599616229820e+01	1.20965498673145e+02
3.16227766016842e+06	1.27641886193669e+01	1.19792993045224e+02
3.31131121482595e+06	1.24614778726192e+01	1.18645975001216e+02
3.46736850452536e+06	1.21521498599199e+01	1.17525546523900e+02
3.63078054770106e+06	1.18365294872684e+01	1.16432616608767e+02
3.80189396320566e+06	1.15149430553074e+01	1.15367907200069e+02
3.98107170553502e+06	1.11877155041319e+01	1.14331961160332e+02
4.16869383470341e+06	1.08551679605509e+01	1.13325151870419e+02
4.36515832240172e+06	1.05176155995491e+01	1.12347694067025e+02
4.57088189614881e+06	1.01753658214236e+01	1.11399655547067e+02
4.78630092322645e+06	9.82871673744286e+00	1.10480969400439e+02
5.01187233627279e+06	9.47795594997846e+00	1.09591446470762e+02
5.24807460249779e+06	9.12335960784937e+00	1.08730787785407e+02
5.49540873857632e+06	8.76519171399043e+00	1.07898596738537e+02
5.75439937337165e+06	8.40370366032680e+00	1.07094390852508e+02
6.02559586074366e+06	8.03913396371252e+00	1.06317612982065e+02
6.30957344480202e+06	7.67170817675372e+00	1.05567641861439e+02
6.60693448007605e+06	7.30163894807624e+00	1.04843801926086e+02
6.91830970918946e+06	6.92912620791767e+00	1.04145372368109e+02
7.24435960075000e+06	6.55435745664907e+00	1.03471595407404e+02
7.58577575029194e+06	6.17750813581277e+00	1.02821683779337e+02
7.94328234724292e+06	5.79874206337504e+00	1.02194827454735e+02
8.31763771102682e+06	5.41821191703814e+00	1.01590199619465e+02
8.70963589956093e+06	5.03605975155972e+00	1.01006961949262e+02
9.12010839355922e+06	4.65241753803357e+00	1.00444269221354e+02
9.54992586021449e+06	4.26740771495766e+00	9.99012733080380e+01
1.00000000000001e+07	3.88114374262936e+00	9.93771265992508e+01
1.04712854805091e+07	3.49373065395301e+00	9.88709849016179e+01
1.09647819614320e+07	3.10526559611730e+00	9.83820098607901e+01
1.14815362149690e+07	2.71583835880486e+00	9.79093709523924e+01
1.20226443461743e+07	2.32553188563972e+00	9.74522470848062e+01
1.25892541179419e+07	1.93442276647351e+00	9.70098278544940e+01
1.31825673855643e+07	1.54258170886913e+00	9.65813144918181e+01
1.38038426460290e+07	1.15007398777699e+00	9.61659205324072e+01
1.44543977074595e+07	7.56959872925273e-01	9.57628722461998e+01
1.51356124843623e+07	3.63295033878180e-01	9.53714088534092e+01
