vout2	Id(M3)	Id(M4)
5.400000000000004e-02	5.439211e-05	1.088587e-04
5.500000000000004e-02	5.439211e-05	1.088586e-04
5.600000000000004e-02	5.439211e-05	1.088586e-04
5.700000000000004e-02	5.439211e-05	1.088585e-04
5.800000000000004e-02	5.439211e-05	1.088585e-04
5.900000000000005e-02	5.439211e-05	1.088584e-04
6.000000000000005e-02	5.439211e-05	1.088584e-04
6.100000000000005e-02	5.439211e-05	1.088583e-04
6.200000000000005e-02	5.439211e-05	1.088582e-04
6.300000000000004e-02	5.439211e-05	1.088582e-04
6.400000000000004e-02	5.439211e-05	1.088581e-04
6.500000000000004e-02	5.439211e-05	1.088581e-04
6.600000000000004e-02	5.439211e-05	1.088580e-04
6.700000000000005e-02	5.439211e-05	1.088580e-04
6.800000000000005e-02	5.439211e-05	1.088579e-04
6.900000000000005e-02	5.439211e-05	1.088578e-04
7.000000000000005e-02	5.439211e-05	1.088578e-04
7.100000000000005e-02	5.439211e-05	1.088577e-04
7.200000000000005e-02	5.439211e-05	1.088577e-04
7.300000000000005e-02	5.439211e-05	1.088576e-04
7.400000000000005e-02	5.439211e-05	1.088575e-04
7.500000000000005e-02	5.439211e-05	1.088575e-04
7.600000000000005e-02	5.439211e-05	1.088574e-04
7.700000000000005e-02	5.439211e-05	1.088574e-04
7.800000000000006e-02	5.439211e-05	1.088573e-04
7.900000000000006e-02	5.439211e-05	1.088573e-04
8.000000000000006e-02	5.439211e-05	1.088572e-04
8.100000000000006e-02	5.439211e-05	1.088571e-04
8.200000000000006e-02	5.439211e-05	1.088571e-04
8.300000000000006e-02	5.439211e-05	1.088570e-04
8.400000000000006e-02	5.439211e-05	1.088570e-04
8.500000000000006e-02	5.439211e-05	1.088569e-04
8.600000000000006e-02	5.439211e-05	1.088568e-04
8.700000000000006e-02	5.439211e-05	1.088568e-04
8.800000000000006e-02	5.439211e-05	1.088567e-04
8.900000000000007e-02	5.439211e-05	1.088567e-04
9.000000000000007e-02	5.439211e-05	1.088566e-04
9.100000000000007e-02	5.439211e-05	1.088566e-04
9.200000000000007e-02	5.439211e-05	1.088565e-04
9.300000000000007e-02	5.439211e-05	1.088564e-04
9.400000000000007e-02	5.439211e-05	1.088564e-04
9.500000000000007e-02	5.439211e-05	1.088563e-04
9.600000000000007e-02	5.439211e-05	1.088563e-04
9.700000000000007e-02	5.439211e-05	1.088562e-04
9.800000000000007e-02	5.439211e-05	1.088561e-04
9.900000000000007e-02	5.439211e-05	1.088561e-04
1.000000000000001e-01	5.439211e-05	1.088560e-04
1.010000000000001e-01	5.439211e-05	1.088560e-04
1.020000000000001e-01	5.439211e-05	1.088559e-04
1.030000000000001e-01	5.439211e-05	1.088559e-04
1.040000000000001e-01	5.439211e-05	1.088558e-04
1.050000000000001e-01	5.439211e-05	1.088557e-04
1.060000000000001e-01	5.439211e-05	1.088557e-04
1.070000000000001e-01	5.439211e-05	1.088556e-04
1.080000000000001e-01	5.439211e-05	1.088556e-04
1.090000000000001e-01	5.439211e-05	1.088555e-04
1.100000000000001e-01	5.439211e-05	1.088554e-04
1.110000000000001e-01	5.439211e-05	1.088554e-04
1.120000000000001e-01	5.439211e-05	1.088553e-04
1.130000000000001e-01	5.439211e-05	1.088553e-04
1.140000000000001e-01	5.439211e-05	1.088552e-04
1.150000000000001e-01	5.439211e-05	1.088552e-04
1.160000000000001e-01	5.439211e-05	1.088551e-04
1.170000000000001e-01	5.439211e-05	1.088550e-04
1.180000000000001e-01	5.439211e-05	1.088550e-04
1.190000000000001e-01	5.439211e-05	1.088549e-04
1.200000000000001e-01	5.439211e-05	1.088549e-04
1.210000000000001e-01	5.439211e-05	1.088548e-04
1.220000000000001e-01	5.439211e-05	1.088548e-04
