time	V(u_in)	V(u_out)
7.648557619837471e-06	0.000000e+00	1.441436e+00
7.658323244837471e-06	0.000000e+00	1.478230e+00
7.668088869837470e-06	0.000000e+00	1.511248e+00
7.677854494837470e-06	0.000000e+00	1.540878e+00
7.687620119837470e-06	0.000000e+00	1.567468e+00
7.697385744837469e-06	0.000000e+00	1.591329e+00
7.707151369837469e-06	0.000000e+00	1.612741e+00
7.716916994837468e-06	0.000000e+00	1.631957e+00
7.726682619837468e-06	0.000000e+00	1.649200e+00
7.736448244837468e-06	0.000000e+00	1.664674e+00
7.746213869837467e-06	0.000000e+00	1.678561e+00
7.755979494837467e-06	0.000000e+00	1.691022e+00
7.765745119837466e-06	0.000000e+00	1.702204e+00
7.775510744837466e-06	0.000000e+00	1.712240e+00
7.785276369837466e-06	0.000000e+00	1.721245e+00
7.795041994837465e-06	0.000000e+00	1.729326e+00
7.804807619837465e-06	0.000000e+00	1.736578e+00
7.814573244837464e-06	0.000000e+00	1.743086e+00
7.824338869837464e-06	0.000000e+00	1.748926e+00
7.834104494837464e-06	0.000000e+00	1.754167e+00
7.843870119837463e-06	0.000000e+00	1.758870e+00
7.853635744837463e-06	0.000000e+00	1.763090e+00
7.863401369837462e-06	0.000000e+00	1.766878e+00
7.873166994837462e-06	0.000000e+00	1.770276e+00
7.892698244837461e-06	0.000000e+00	1.776063e+00
7.912229494837460e-06	0.000000e+00	1.780723e+00
7.931760744837460e-06	0.000000e+00	1.784476e+00
7.951291994837459e-06	0.000000e+00	1.787498e+00
7.970823244837458e-06	0.000000e+00	1.789932e+00
8.000120119837457e-06	0.000000e+00	1.792724e+00
8.029416994837456e-06	0.000000e+00	1.794741e+00
8.050343334123168e-06	0.000000e+00	1.795745e+00
8.071269673408883e-06	0.000000e+00	1.796616e+00
8.092196012694596e-06	0.000000e+00	1.797352e+00
8.113122351980310e-06	0.000000e+00	1.797955e+00
8.134048691266023e-06	0.000000e+00	1.798425e+00
8.154975030551737e-06	0.000000e+00	1.798760e+00
8.175901369837450e-06	0.000000e+00	1.798962e+00
8.221939316266019e-06	0.000000e+00	1.799288e+00
8.267977262694588e-06	0.000000e+00	1.799553e+00
8.314015209123158e-06	0.000000e+00	1.799757e+00
8.360053155551729e-06	0.000000e+00	1.799901e+00
8.406091101980298e-06	0.000000e+00	1.799984e+00
