time	V(u_in)	V(u_out)
5.827122467140170e-06	1.800000e+00	1.794408e+00
6.094551038568724e-06	1.800000e+00	1.794419e+00
6.999999999999994e-06	1.800000e+00	1.794453e+00
7.000999999999996e-06	1.800000e+00	1.794453e+00
7.001027441349455e-06	1.750606e+00	1.794404e+00
7.001082324048358e-06	1.651817e+00	1.794308e+00
7.001192089446179e-06	1.454239e+00	1.794116e+00
7.001278443469734e-06	1.298802e+00	1.793937e+00
7.001353677446687e-06	1.163381e+00	1.793731e+00
7.001426703672243e-06	1.031933e+00	1.793493e+00
7.001534990509029e-06	8.370171e-01	1.793123e+00
7.001652029913117e-06	6.263462e-01	1.792724e+00
7.001765921191836e-06	4.213419e-01	1.792339e+00
7.001784809944011e-06	3.873421e-01	1.792276e+00
7.001809994946912e-06	3.420091e-01	1.792191e+00
7.001860364952713e-06	2.513431e-01	1.792023e+00
7.001922209928630e-06	1.400221e-01	1.791815e+00
7.001954100119531e-06	8.261979e-02	1.791707e+00
7.001999999999998e-06	0.000000e+00	1.791551e+00
7.002003567666085e-06	0.000000e+00	1.791555e+00
7.002010702998260e-06	0.000000e+00	1.791563e+00
7.002053514991346e-06	0.000000e+00	1.791610e+00
7.002110597648795e-06	0.000000e+00	1.791669e+00
7.002224762963678e-06	0.000000e+00	1.791782e+00
7.002453093593459e-06	0.000000e+00	1.791987e+00
7.002909754853020e-06	0.000000e+00	1.792335e+00
7.003640644960977e-06	0.000000e+00	1.792784e+00
7.004381746070711e-06	0.000000e+00	1.793131e+00
7.005160198396410e-06	0.000000e+00	1.793386e+00
7.006052993658066e-06	0.000000e+00	1.793553e+00
7.007251709320985e-06	0.000000e+00	1.793592e+00
7.008786328676283e-06	0.000000e+00	1.793347e+00
7.010747944130366e-06	0.000000e+00	1.792564e+00
7.013155622948863e-06	0.000000e+00	1.790872e+00
7.016201103408030e-06	0.000000e+00	1.787552e+00
7.020088427164974e-06	0.000000e+00	1.781408e+00
7.024991979803969e-06	0.000000e+00	1.770699e+00
7.030694216289156e-06	0.000000e+00	1.754199e+00
7.036891084501493e-06	0.000000e+00	1.730902e+00
7.045048510620716e-06	0.000000e+00	1.691001e+00
7.056160081922647e-06	0.000000e+00	1.619674e+00
7.070987194692527e-06	0.000000e+00	1.495472e+00
7.093621575554680e-06	0.000000e+00	1.262452e+00
7.118647469561454e-06	0.000000e+00	9.703856e-01
7.137392175609041e-06	0.000000e+00	7.375390e-01
7.138932034634054e-06	0.000000e+00	7.179137e-01
7.142011752684079e-06	0.000000e+00	6.783224e-01
7.147040786856698e-06	0.000000e+00	6.137158e-01
7.152420884347545e-06	0.000000e+00	5.450977e-01
7.158305533960628e-06	0.000000e+00	4.713250e-01
7.162319682087968e-06	0.000000e+00	4.227905e-01
7.166921168047242e-06	0.000000e+00	3.701514e-01
7.169861473297305e-06	0.000000e+00	3.391464e-01
7.173105976388656e-06	0.000000e+00	3.084827e-01
7.176876207633928e-06	0.000000e+00	2.779503e-01
7.184416670124474e-06	0.000000e+00	2.310165e-01
7.199118574607825e-06	0.000000e+00	1.692540e-01
7.215151860535924e-06	0.000000e+00	1.297118e-01
7.230534549911277e-06	0.000000e+00	1.102326e-01
7.246937908711624e-06	0.000000e+00	9.995396e-02
7.267354149825781e-06	0.000000e+00	9.397172e-02
7.293562565249836e-06	0.000000e+00	9.095427e-02
7.327754628370134e-06	0.000000e+00	8.992539e-02
7.374051561374257e-06	0.000000e+00	8.987854e-02
7.422051561374254e-06	0.000000e+00	9.003057e-02
7.470051561374251e-06	0.000000e+00	9.010683e-02
7.518051561374248e-06	0.000000e+00	9.012782e-02
7.566051561374245e-06	0.000000e+00	9.013212e-02
7.826622989945656e-06	0.000000e+00	9.013238e-02
8.087194418517068e-06	0.000000e+00	9.013258e-02
8.347765847088480e-06	0.000000e+00	9.013272e-02
8.608337275659891e-06	0.000000e+00	9.013281e-02
8.868908704231301e-06	0.000000e+00	9.013283e-02
9.129480132802714e-06	0.000000e+00	9.013279e-02
9.390051561374124e-06	0.000000e+00	9.013270e-02
1.199899999999999e-05	0.000000e+00	9.013269e-02
1.199999999999999e-05	0.000000e+00	9.013269e-02
