v_in	V(u_out)
7.500000000000005e-02	1.063395e-01
7.600000000000005e-02	1.066955e-01
7.700000000000005e-02	1.070570e-01
7.800000000000006e-02	1.074242e-01
7.900000000000006e-02	1.077972e-01
8.000000000000006e-02	1.081761e-01
8.100000000000006e-02	1.085610e-01
8.200000000000006e-02	1.089520e-01
8.300000000000006e-02	1.093492e-01
8.400000000000006e-02	1.097526e-01
8.500000000000006e-02	1.101624e-01
8.600000000000006e-02	1.105787e-01
8.700000000000006e-02	1.110016e-01
8.800000000000006e-02	1.114311e-01
8.900000000000007e-02	1.118674e-01
9.000000000000007e-02	1.123106e-01
9.100000000000007e-02	1.127607e-01
9.200000000000007e-02	1.132179e-01
9.300000000000007e-02	1.136823e-01
9.400000000000007e-02	1.141538e-01
9.500000000000007e-02	1.146328e-01
9.600000000000007e-02	1.151191e-01
9.700000000000007e-02	1.156129e-01
9.800000000000007e-02	1.161143e-01
9.900000000000007e-02	1.166234e-01
1.000000000000001e-01	1.171402e-01
1.010000000000001e-01	1.176648e-01
1.020000000000001e-01	1.181973e-01
1.030000000000001e-01	1.187378e-01
1.040000000000001e-01	1.192862e-01
1.050000000000001e-01	1.198427e-01
1.060000000000001e-01	1.204074e-01
1.070000000000001e-01	1.209802e-01
1.080000000000001e-01	1.215611e-01
1.090000000000001e-01	1.221504e-01
1.100000000000001e-01	1.227479e-01
1.110000000000001e-01	1.233537e-01
1.120000000000001e-01	1.239678e-01
1.130000000000001e-01	1.245902e-01
1.140000000000001e-01	1.252210e-01
1.150000000000001e-01	1.258601e-01
1.160000000000001e-01	1.265075e-01
1.170000000000001e-01	1.271632e-01
1.180000000000001e-01	1.278273e-01
1.190000000000001e-01	1.284996e-01
1.200000000000001e-01	1.291801e-01
1.210000000000001e-01	1.298688e-01
1.220000000000001e-01	1.305656e-01
1.230000000000001e-01	1.312705e-01
1.240000000000001e-01	1.319835e-01
1.250000000000001e-01	1.327044e-01
1.260000000000001e-01	1.334331e-01
1.270000000000001e-01	1.341697e-01
1.280000000000001e-01	1.349139e-01
1.290000000000001e-01	1.356657e-01
1.300000000000001e-01	1.364251e-01
1.310000000000001e-01	1.371918e-01
1.320000000000001e-01	1.379658e-01
1.330000000000001e-01	1.387470e-01
1.340000000000001e-01	1.395352e-01
1.350000000000001e-01	1.403304e-01
1.360000000000001e-01	1.411323e-01
1.370000000000001e-01	1.419409e-01
1.380000000000001e-01	1.427560e-01
1.390000000000001e-01	1.435774e-01
1.400000000000001e-01	1.444051e-01
1.410000000000001e-01	1.452388e-01
1.420000000000001e-01	1.460785e-01
1.430000000000001e-01	1.469240e-01
1.440000000000001e-01	1.477751e-01
1.450000000000001e-01	1.486317e-01
1.460000000000001e-01	1.494936e-01
1.470000000000001e-01	1.503607e-01
1.480000000000001e-01	1.512328e-01
1.490000000000001e-01	1.521098e-01
1.500000000000001e-01	1.529916e-01
1.510000000000001e-01	1.538779e-01
1.520000000000001e-01	1.547687e-01
1.530000000000001e-01	1.556637e-01
1.540000000000001e-01	1.565629e-01
1.550000000000001e-01	1.574661e-01
1.560000000000001e-01	1.583732e-01
1.570000000000001e-01	1.592840e-01
1.580000000000001e-01	1.601984e-01
1.590000000000001e-01	1.611163e-01
1.600000000000001e-01	1.620375e-01
1.610000000000001e-01	1.629619e-01
1.620000000000001e-01	1.638895e-01
1.630000000000001e-01	1.648200e-01
1.640000000000001e-01	1.657533e-01
1.650000000000001e-01	1.666894e-01
1.660000000000001e-01	1.676282e-01
