v_in	V(u_out)
1.280000000000001e-01	1.798582e+00
1.290000000000001e-01	1.798583e+00
1.300000000000001e-01	1.798584e+00
1.310000000000001e-01	1.798585e+00
1.320000000000001e-01	1.798586e+00
1.330000000000001e-01	1.798587e+00
1.340000000000001e-01	1.798587e+00
1.350000000000001e-01	1.798588e+00
1.360000000000001e-01	1.798589e+00
1.370000000000001e-01	1.798590e+00
1.380000000000001e-01	1.798591e+00
1.390000000000001e-01	1.798592e+00
1.400000000000001e-01	1.798593e+00
1.410000000000001e-01	1.798593e+00
1.420000000000001e-01	1.798594e+00
1.430000000000001e-01	1.798595e+00
1.440000000000001e-01	1.798596e+00
1.450000000000001e-01	1.798597e+00
1.460000000000001e-01	1.798598e+00
1.470000000000001e-01	1.798599e+00
1.480000000000001e-01	1.798599e+00
1.490000000000001e-01	1.798600e+00
1.500000000000001e-01	1.798601e+00
1.510000000000001e-01	1.798602e+00
1.520000000000001e-01	1.798603e+00
1.530000000000001e-01	1.798604e+00
1.540000000000001e-01	1.798604e+00
1.550000000000001e-01	1.798605e+00
1.560000000000001e-01	1.798606e+00
1.570000000000001e-01	1.798607e+00
1.580000000000001e-01	1.798608e+00
1.590000000000001e-01	1.798609e+00
1.600000000000001e-01	1.798610e+00
1.610000000000001e-01	1.798610e+00
1.620000000000001e-01	1.798611e+00
1.630000000000001e-01	1.798612e+00
1.640000000000001e-01	1.798613e+00
1.650000000000001e-01	1.798614e+00
1.660000000000001e-01	1.798615e+00
1.670000000000001e-01	1.798616e+00
1.680000000000001e-01	1.798616e+00
1.690000000000001e-01	1.798617e+00
1.700000000000001e-01	1.798618e+00
1.710000000000001e-01	1.798619e+00
1.720000000000001e-01	1.798620e+00
1.730000000000001e-01	1.798621e+00
1.740000000000001e-01	1.798622e+00
1.750000000000001e-01	1.798622e+00
1.760000000000001e-01	1.798623e+00
1.770000000000001e-01	1.798624e+00
1.780000000000001e-01	1.798625e+00
1.790000000000001e-01	1.798626e+00
1.800000000000001e-01	1.798627e+00
1.810000000000001e-01	1.798627e+00
1.820000000000001e-01	1.798628e+00
1.830000000000001e-01	1.798629e+00
1.840000000000001e-01	1.798630e+00
1.850000000000001e-01	1.798631e+00
1.860000000000001e-01	1.798632e+00
1.870000000000001e-01	1.798633e+00
1.880000000000001e-01	1.798633e+00
1.890000000000001e-01	1.798634e+00
1.900000000000001e-01	1.798635e+00
1.910000000000001e-01	1.798636e+00
1.920000000000001e-01	1.798637e+00
1.930000000000001e-01	1.798638e+00
1.940000000000001e-01	1.798638e+00
1.950000000000001e-01	1.798639e+00
1.960000000000001e-01	1.798640e+00
1.970000000000001e-01	1.798641e+00
1.980000000000001e-01	1.798642e+00
1.990000000000001e-01	1.798643e+00
2.000000000000001e-01	1.798644e+00
2.010000000000002e-01	1.798644e+00
2.020000000000002e-01	1.798645e+00
2.030000000000002e-01	1.798646e+00
2.040000000000002e-01	1.798647e+00
2.050000000000002e-01	1.798648e+00
2.060000000000002e-01	1.798649e+00
2.070000000000002e-01	1.798650e+00
2.080000000000002e-01	1.798650e+00
2.090000000000002e-01	1.798651e+00
2.100000000000002e-01	1.798652e+00
2.110000000000002e-01	1.798653e+00
2.120000000000002e-01	1.798654e+00
2.130000000000002e-01	1.798655e+00
2.140000000000002e-01	1.798656e+00
2.150000000000002e-01	1.798656e+00
2.160000000000002e-01	1.798657e+00
2.170000000000002e-01	1.798658e+00
2.180000000000002e-01	1.798659e+00
2.190000000000002e-01	1.798660e+00
2.200000000000002e-01	1.798661e+00
2.210000000000002e-01	1.798661e+00
2.220000000000002e-01	1.798662e+00
2.230000000000002e-01	1.798663e+00
2.240000000000002e-01	1.798664e+00
2.250000000000002e-01	1.798665e+00
2.260000000000002e-01	1.798666e+00
2.270000000000002e-01	1.798667e+00
2.280000000000002e-01	1.798667e+00
2.290000000000002e-01	1.798668e+00
2.300000000000002e-01	1.798669e+00
2.310000000000002e-01	1.798670e+00
2.320000000000002e-01	1.798671e+00
2.330000000000002e-01	1.798672e+00
2.340000000000002e-01	1.798673e+00
2.350000000000002e-01	1.798673e+00
2.360000000000002e-01	1.798674e+00
2.370000000000002e-01	1.798675e+00
2.380000000000002e-01	1.798676e+00
2.390000000000002e-01	1.798677e+00
2.400000000000002e-01	1.798678e+00
2.410000000000002e-01	1.798679e+00
2.420000000000002e-01	1.798679e+00
