vcc	V(u_out)
1.120999999999987e+00	9.428167e-01
1.121999999999987e+00	9.427031e-01
1.122999999999986e+00	9.428962e-01
1.123999999999986e+00	9.444679e-01
1.124999999999986e+00	9.464579e-01
1.125999999999986e+00	9.451128e-01
1.126999999999986e+00	9.457707e-01
1.127999999999986e+00	9.467398e-01
1.128999999999986e+00	9.470959e-01
1.129999999999986e+00	9.468219e-01
1.130999999999986e+00	9.471707e-01
1.131999999999985e+00	9.496319e-01
1.132999999999985e+00	9.493032e-01
1.133999999999985e+00	9.493006e-01
1.134999999999985e+00	9.499212e-01
1.135999999999985e+00	9.505082e-01
1.136999999999985e+00	9.510877e-01
1.137999999999985e+00	9.521030e-01
1.138999999999985e+00	9.525630e-01
1.139999999999985e+00	9.519140e-01
1.140999999999984e+00	9.547674e-01
1.141999999999984e+00	9.549580e-01
1.142999999999984e+00	9.531559e-01
1.143999999999984e+00	9.541151e-01
1.144999999999984e+00	9.564298e-01
1.145999999999984e+00	9.558210e-01
1.146999999999984e+00	9.557538e-01
1.147999999999984e+00	9.567338e-01
1.148999999999984e+00	9.567757e-01
1.149999999999983e+00	9.578165e-01
1.150999999999983e+00	9.578983e-01
1.151999999999983e+00	9.581567e-01
1.152999999999983e+00	9.582528e-01
1.153999999999983e+00	9.600352e-01
1.154999999999983e+00	9.611134e-01
1.155999999999983e+00	9.603075e-01
1.156999999999983e+00	9.609481e-01
1.157999999999983e+00	9.620499e-01
1.158999999999982e+00	9.614465e-01
1.159999999999982e+00	9.626845e-01
1.160999999999982e+00	9.619175e-01
1.161999999999982e+00	9.630879e-01
1.162999999999982e+00	9.632734e-01
1.163999999999982e+00	9.646092e-01
1.164999999999982e+00	9.654639e-01
1.165999999999982e+00	9.641300e-01
1.166999999999982e+00	9.656011e-01
1.167999999999981e+00	9.658442e-01
1.168999999999981e+00	9.667807e-01
1.169999999999981e+00	9.673316e-01
1.170999999999981e+00	9.686272e-01
1.171999999999981e+00	9.674435e-01
1.172999999999981e+00	9.670713e-01
1.173999999999981e+00	9.693996e-01
1.174999999999981e+00	9.684221e-01
1.175999999999981e+00	9.701957e-01
1.176999999999981e+00	9.705069e-01
1.177999999999980e+00	9.692360e-01
1.178999999999980e+00	9.704113e-01
1.179999999999980e+00	9.704360e-01
1.180999999999980e+00	9.714026e-01
1.181999999999980e+00	9.719123e-01
1.182999999999980e+00	9.712461e-01
1.183999999999980e+00	9.708307e-01
1.184999999999980e+00	9.724427e-01
1.185999999999980e+00	9.743895e-01
1.186999999999979e+00	9.738457e-01
1.187999999999979e+00	9.742265e-01
1.188999999999979e+00	9.736501e-01
1.189999999999979e+00	9.746730e-01
1.190999999999979e+00	9.748316e-01
1.191999999999979e+00	9.750804e-01
1.192999999999979e+00	9.749262e-01
1.193999999999979e+00	9.752862e-01
1.194999999999979e+00	9.774929e-01
1.195999999999978e+00	9.773985e-01
1.196999999999978e+00	9.770158e-01
1.197999999999978e+00	9.778842e-01
1.198999999999978e+00	9.787369e-01
1.199999999999978e+00	9.805758e-01
1.200999999999978e+00	9.798133e-01
1.201999999999978e+00	9.789981e-01
1.202999999999978e+00	9.821063e-01
1.203999999999978e+00	9.813580e-01
