vout	Id(M1)	Id(M2)
5.100000000000004e-02	2.459116e-05	2.403281e-05
5.200000000000004e-02	2.459116e-05	2.440785e-05
5.300000000000004e-02	2.459116e-05	2.477926e-05
5.400000000000004e-02	2.459116e-05	2.514702e-05
5.500000000000004e-02	2.459116e-05	2.551115e-05
5.600000000000004e-02	2.459116e-05	2.587166e-05
5.700000000000004e-02	2.459116e-05	2.622854e-05
5.800000000000004e-02	2.459116e-05	2.658181e-05
5.900000000000005e-02	2.459116e-05	2.693146e-05
6.000000000000005e-02	2.459116e-05	2.727751e-05
6.100000000000005e-02	2.459116e-05	2.761995e-05
6.200000000000005e-02	2.459116e-05	2.795879e-05
6.300000000000004e-02	2.459116e-05	2.829405e-05
6.400000000000004e-02	2.459116e-05	2.862571e-05
6.500000000000004e-02	2.459116e-05	2.895380e-05
6.600000000000004e-02	2.459116e-05	2.927832e-05
6.700000000000005e-02	2.459116e-05	2.959926e-05
6.800000000000005e-02	2.459116e-05	2.991665e-05
6.900000000000005e-02	2.459116e-05	3.023048e-05
7.000000000000005e-02	2.459116e-05	3.054077e-05
7.100000000000005e-02	2.459116e-05	3.084751e-05
7.200000000000005e-02	2.459116e-05	3.115072e-05
7.300000000000005e-02	2.459116e-05	3.145040e-05
7.400000000000005e-02	2.459116e-05	3.174657e-05
7.500000000000005e-02	2.459116e-05	3.203922e-05
7.600000000000005e-02	2.459116e-05	3.232837e-05
7.700000000000005e-02	2.459116e-05	3.261404e-05
7.800000000000006e-02	2.459116e-05	3.289621e-05
7.900000000000006e-02	2.459116e-05	3.317490e-05
8.000000000000006e-02	2.459116e-05	3.345013e-05
8.100000000000006e-02	2.459116e-05	3.372190e-05
8.200000000000006e-02	2.459116e-05	3.399022e-05
8.300000000000006e-02	2.459116e-05	3.425510e-05
8.400000000000006e-02	2.459116e-05	3.451655e-05
8.500000000000006e-02	2.459116e-05	3.477458e-05
8.600000000000006e-02	2.459116e-05	3.502920e-05
8.700000000000006e-02	2.459116e-05	3.528043e-05
8.800000000000006e-02	2.459116e-05	3.552827e-05
8.900000000000007e-02	2.459116e-05	3.577273e-05
