vcc	Id(Mp1)	Id(Mp2)	Id(Mp3)
1.054999999999994e+00	3.387285e-07	1.267393e-05	1.892102e-05
1.055999999999994e+00	3.442135e-07	1.269798e-05	1.895808e-05
1.056999999999994e+00	3.497838e-07	1.272203e-05	1.899515e-05
1.057999999999994e+00	3.554408e-07	1.274607e-05	1.903222e-05
1.058999999999994e+00	3.611856e-07	1.277012e-05	1.906930e-05
1.059999999999993e+00	3.670195e-07	1.279416e-05	1.910637e-05
1.060999999999993e+00	3.729437e-07	1.281821e-05	1.914345e-05
1.061999999999993e+00	3.789595e-07	1.284225e-05	1.918053e-05
1.062999999999993e+00	3.850681e-07	1.286630e-05	1.921761e-05
1.063999999999993e+00	3.912709e-07	1.289034e-05	1.925469e-05
1.064999999999993e+00	3.975692e-07	1.291438e-05	1.929177e-05
1.065999999999993e+00	4.039643e-07	1.293842e-05	1.932885e-05
1.066999999999993e+00	4.104575e-07	1.296245e-05	1.936594e-05
1.067999999999993e+00	4.170502e-07	1.298649e-05	1.940303e-05
1.068999999999992e+00	4.237437e-07	1.301052e-05	1.944011e-05
1.069999999999992e+00	4.305394e-07	1.303456e-05	1.947720e-05
1.070999999999992e+00	4.374387e-07	1.305859e-05	1.951428e-05
1.071999999999992e+00	4.444430e-07	1.308262e-05	1.955137e-05
1.072999999999992e+00	4.515537e-07	1.310664e-05	1.958845e-05
1.073999999999992e+00	4.587722e-07	1.313067e-05	1.962554e-05
1.074999999999992e+00	4.661000e-07	1.315469e-05	1.966262e-05
1.075999999999992e+00	4.735385e-07	1.317871e-05	1.969971e-05
1.076999999999992e+00	4.810892e-07	1.320272e-05	1.973679e-05
1.077999999999991e+00	4.887535e-07	1.322674e-05	1.977387e-05
1.078999999999991e+00	4.965330e-07	1.325074e-05	1.981095e-05
1.079999999999991e+00	5.044291e-07	1.327475e-05	1.984803e-05
1.080999999999991e+00	5.124434e-07	1.329876e-05	1.988510e-05
1.081999999999991e+00	5.205773e-07	1.332276e-05	1.992218e-05
1.082999999999991e+00	5.288325e-07	1.334675e-05	1.995925e-05
1.083999999999991e+00	5.372104e-07	1.337075e-05	1.999632e-05
1.084999999999991e+00	5.457126e-07	1.339474e-05	2.003339e-05
1.085999999999991e+00	5.543407e-07	1.341872e-05	2.007045e-05
1.086999999999990e+00	5.630963e-07	1.344270e-05	2.010751e-05
1.087999999999990e+00	5.719809e-07	1.346668e-05	2.014457e-05
1.088999999999990e+00	5.809962e-07	1.349065e-05	2.018162e-05
1.089999999999990e+00	5.901438e-07	1.351462e-05	2.021867e-05
1.090999999999990e+00	5.994252e-07	1.353858e-05	2.025572e-05
1.091999999999990e+00	6.088422e-07	1.356254e-05	2.029276e-05
1.092999999999990e+00	6.183964e-07	1.358649e-05	2.032980e-05
1.093999999999990e+00	6.280895e-07	1.361044e-05	2.036683e-05
1.094999999999990e+00	6.379230e-07	1.363438e-05	2.040385e-05
1.095999999999989e+00	6.478987e-07	1.365832e-05	2.044088e-05
