vcc	V(u_out)
1.265999999999971e+00	8.776652e-01
1.266999999999971e+00	8.780299e-01
1.267999999999970e+00	8.784896e-01
1.268999999999970e+00	8.796389e-01
1.269999999999970e+00	8.791302e-01
1.270999999999970e+00	8.802924e-01
1.271999999999970e+00	8.806443e-01
1.272999999999970e+00	8.808662e-01
1.273999999999970e+00	8.814278e-01
1.274999999999970e+00	8.818040e-01
1.275999999999970e+00	8.820907e-01
1.276999999999969e+00	8.823395e-01
1.277999999999969e+00	8.823061e-01
1.278999999999969e+00	8.832022e-01
1.279999999999969e+00	8.834344e-01
1.280999999999969e+00	8.841941e-01
1.281999999999969e+00	8.836408e-01
1.282999999999969e+00	8.840017e-01
1.283999999999969e+00	8.846624e-01
1.284999999999969e+00	8.847143e-01
1.285999999999969e+00	8.852295e-01
1.286999999999968e+00	8.851978e-01
1.287999999999968e+00	8.854401e-01
1.288999999999968e+00	8.857779e-01
1.289999999999968e+00	8.857204e-01
1.290999999999968e+00	8.868675e-01
1.291999999999968e+00	8.872079e-01
1.292999999999968e+00	8.871996e-01
1.293999999999968e+00	8.875194e-01
1.294999999999968e+00	8.877706e-01
1.295999999999967e+00	8.886772e-01
1.296999999999967e+00	8.885996e-01
1.297999999999967e+00	8.888494e-01
1.298999999999967e+00	8.888929e-01
1.299999999999967e+00	8.897370e-01
1.300999999999967e+00	8.899599e-01
1.301999999999967e+00	8.901486e-01
1.302999999999967e+00	8.909682e-01
1.303999999999967e+00	8.909839e-01
1.304999999999966e+00	8.916254e-01
1.305999999999966e+00	8.917012e-01
1.306999999999966e+00	8.918551e-01
1.307999999999966e+00	8.926595e-01
1.308999999999966e+00	8.933593e-01
1.309999999999966e+00	8.934044e-01
1.310999999999966e+00	8.940642e-01
1.311999999999966e+00	8.940747e-01
1.312999999999966e+00	8.945459e-01
1.313999999999965e+00	8.946460e-01
1.314999999999965e+00	8.952016e-01
1.315999999999965e+00	8.955383e-01
1.316999999999965e+00	8.962407e-01
1.317999999999965e+00	8.961774e-01
1.318999999999965e+00	8.966503e-01
1.319999999999965e+00	8.969842e-01
1.320999999999965e+00	8.970812e-01
1.321999999999965e+00	8.978496e-01
1.322999999999964e+00	8.980015e-01
1.323999999999964e+00	8.984357e-01
1.324999999999964e+00	8.989081e-01
1.325999999999964e+00	8.987731e-01
1.326999999999964e+00	8.999199e-01
1.327999999999964e+00	8.994803e-01
1.328999999999964e+00	8.998113e-01
1.329999999999964e+00	9.004247e-01
1.330999999999964e+00	9.012813e-01
1.331999999999963e+00	9.010969e-01
1.332999999999963e+00	9.016967e-01
1.333999999999963e+00	9.022105e-01
1.334999999999963e+00	9.021357e-01
1.335999999999963e+00	9.025891e-01
1.336999999999963e+00	9.028823e-01
1.337999999999963e+00	9.032108e-01
1.338999999999963e+00	9.036369e-01
1.339999999999963e+00	9.039467e-01
1.340999999999962e+00	9.044595e-01
1.341999999999962e+00	9.049351e-01
1.342999999999962e+00	9.056456e-01
1.343999999999962e+00	9.057499e-01
1.344999999999962e+00	9.055994e-01
1.345999999999962e+00	9.067191e-01
1.346999999999962e+00	9.062198e-01
1.347999999999962e+00	9.066882e-01
1.348999999999962e+00	9.068562e-01
1.349999999999961e+00	9.077895e-01
1.350999999999961e+00	9.076772e-01
1.351999999999961e+00	9.086553e-01
1.352999999999961e+00	9.086204e-01
1.353999999999961e+00	9.085964e-01
1.354999999999961e+00	9.097477e-01
1.355999999999961e+00	9.100266e-01
1.356999999999961e+00	9.099826e-01
1.357999999999961e+00	9.102223e-01
1.358999999999960e+00	9.111123e-01
1.359999999999960e+00	9.110814e-01
1.360999999999960e+00	9.116451e-01
1.361999999999960e+00	9.119746e-01
1.362999999999960e+00	9.119942e-01
1.363999999999960e+00	9.124526e-01
1.364999999999960e+00	9.129084e-01
1.365999999999960e+00	9.131747e-01
1.366999999999960e+00	9.137316e-01
1.367999999999959e+00	9.136276e-01
1.368999999999959e+00	9.140099e-01
1.369999999999959e+00	9.145935e-01
1.370999999999959e+00	9.145878e-01
1.371999999999959e+00	9.149058e-01
1.372999999999959e+00	9.157345e-01
1.373999999999959e+00	9.161558e-01
1.374999999999959e+00	9.158938e-01
1.375999999999959e+00	9.163194e-01
1.376999999999958e+00	9.169866e-01
1.377999999999958e+00	9.170651e-01
1.378999999999958e+00	9.178379e-01
1.379999999999958e+00	9.176136e-01
1.380999999999958e+00	9.182460e-01
1.381999999999958e+00	9.185547e-01
1.382999999999958e+00	9.187459e-01
1.383999999999958e+00	9.189089e-01
1.384999999999958e+00	9.196250e-01
1.385999999999957e+00	9.197887e-01
1.386999999999957e+00	9.199494e-01
1.387999999999957e+00	9.207298e-01
1.388999999999957e+00	9.205844e-01
1.389999999999957e+00	9.213743e-01
1.390999999999957e+00	9.217835e-01
1.391999999999957e+00	9.216727e-01
1.392999999999957e+00	9.223571e-01
1.393999999999957e+00	9.225382e-01
1.394999999999956e+00	9.228868e-01
1.395999999999956e+00	9.234211e-01
1.396999999999956e+00	9.232832e-01
1.397999999999956e+00	9.241292e-01
1.398999999999956e+00	9.240094e-01
1.399999999999956e+00	9.245846e-01
1.400999999999956e+00	9.251796e-01
1.401999999999956e+00	9.253682e-01
1.402999999999956e+00	9.250563e-01
1.403999999999956e+00	9.259017e-01
1.404999999999955e+00	9.262764e-01
1.405999999999955e+00	9.263224e-01
1.406999999999955e+00	9.267781e-01
1.407999999999955e+00	9.267392e-01
1.408999999999955e+00	9.274217e-01
1.409999999999955e+00	9.279745e-01
1.410999999999955e+00	9.276189e-01
1.411999999999955e+00	9.279324e-01
1.412999999999955e+00	9.283928e-01
1.413999999999954e+00	9.282253e-01
1.414999999999954e+00	9.286538e-01
1.415999999999954e+00	9.291339e-01
1.416999999999954e+00	9.295346e-01
1.417999999999954e+00	9.297437e-01
1.418999999999954e+00	9.301607e-01
1.419999999999954e+00	9.297364e-01
1.420999999999954e+00	9.308721e-01
1.421999999999954e+00	9.306823e-01
1.422999999999953e+00	9.313760e-01
1.423999999999953e+00	9.314852e-01
1.424999999999953e+00	9.313884e-01
1.425999999999953e+00	9.317805e-01
1.426999999999953e+00	9.327178e-01
1.427999999999953e+00	9.325629e-01
1.428999999999953e+00	9.330792e-01
1.429999999999953e+00	9.330207e-01
1.430999999999953e+00	9.334076e-01
1.431999999999952e+00	9.343292e-01
1.432999999999952e+00	9.339784e-01
1.433999999999952e+00	9.343615e-01
1.434999999999952e+00	9.350314e-01
